Filename,Title,Keywords,Category,Releases
mjpg_00001_.jpg,Morning Stretch on Balcony,"morning routine, wellness, balcony, stretching, lifestyle, peaceful, back view, sunrise",,
mjpg_00002_.jpg,Minimalist Workspace with Coffee,"productivity, lifestyle, home office, minimalist, remote work, tech, coffee",,
mjpg_00003_.jpg,Urban Cyclist on a Quiet Street,"cycling, wellness, eco-friendly, lifestyle, urban commute, back view",,
mjpg_00004_.jpg,Journaling with Tea on Wooden Table,"mindfulness, journaling, tea, cozy, flatlay, lifestyle, writing, still life",,
mjpg_00005_.jpg,Yoga in the Forest,"outdoor yoga, lifestyle, forest, nature wellness, fitness, back view",,
mjpg_00006_.jpg,Preparing a Healthy Smoothie,"healthy eating, smoothie prep, lifestyle, kitchen, clean eating, wellness",,
mjpg_00007_.jpg,Reading by the Window,"slow living, reading, cozy lifestyle, window light, self-care, book",,
mjpg_00008_.jpg,Hiking Trail with Backpacker,"hiking, lifestyle, outdoor, back view, adventure, nature wellness",,
mjpg_00009_.jpg,Cooking with Fresh Ingredients,"cooking, healthy food, lifestyle, culinary, flatlay, ingredients",,
mjpg_00010_.jpg,Sunset Meditation on Beach,"meditation, beach, wellness, sunset, silhouette, lifestyle, mental health",,
